"comment_text","toxic"
"gandu","1"
"mc","1"
"bc","1"
"chutiya","1"
"madarchod","1"
"kutte","1"
"btich","1"
"btihc","1"
"btch","1"
"batch","0"
"kutti","1"
"kutte ki aulaad","1"
"kutte ki beti","1"
"kutte ki beti","1"
"bhenchod","1"
"bhen di lodi","1"
"kutta","1"
"kutiya","1"
"kutte ka bacha","1"
"haraami","1"
"bhosdike","1"
"bhosdiki","1"
"bhadwa","1"
"raand","1"
"randi","1"
"chutiye","1"
"bhen ke lode","1"
"maderchod","1"
"gaandu","1"
"tatte","1"
"teri maa ki","1"
"maa chuda","1"
"bhosadike","1"
"lodu","1"
"lode","1"
"laude","1"
"lund","1"
"choot","1"
"chut","1"
"chutmarra","1"
"chutmarike","1"
"khanzeer","1"
"sali","1"
"sala","1"
"kamina","1"
"kaminey","1"
"ullu ka patha","1"
"ullu ki patthi","1"
"kutta mawt","1"
"gasti","1"
"gashti","1"
"dalla","1"
"bharwa","1"
"dalley","1"
"khusra","1"
"hijra","1"
"chakka","1"
"bhosda","1"
"mutthal","1"
"lanat","1"
"laanti","1"
"beghairat","1"
"kanjar","1"
"kanjri","1"
"soor","1"
"suar ka bacha","1"
"kameeni","1"
"8h3nchod","1"
"t3r1 maa k1","1"
"ullu k! p4tth1","1"
"bh4rw@","1"
"9andu","1"
"9a$t!","1"
"9@sht!","1"
"bh3n di lod!","1"
"r4and","1"
"ga5ht1","1"
"bho$da","1"
"l4n4t","1"
"bho54d1ke","1"
"ch@kk4","1"
"$o0r","1"
"kutt!","1"
"bho$d4","1"
"kutt1","1"
"h4ra@m1","1"
"chut1y@","1"
"ter1 m4@ k!","1"
"bh3n d! l0d!","1"
"bh3n d1 lod!","1"
"k@m1na","1"
"8h4rw@","1"
"t@tt3","1"
"k@m!n3y","1"
"r@ndi","1"
"kutte k@ b@cha","1"
"d@ll@","1"
"kutt3 ki @ul@@d","1"
"l0de","1"
"la4nti","1"
"8hos@d!k3","1"
"khanze3r","1"
"kutt3 k@ 84ch@","1"
"khanz3er","1"
"khusr4","1"
"83gh@ir@t","1"
"kutte ki 83t1","1"
"k@m33n1","1"
"ullu k1 patthi","1"
"kutt@ m@wt","1"
"laant1","1"
"kut1y@","1"
"m@@ chud@","1"
"kutt3 k! 4ula4d","1"
"9a4ndu","1"
"m@a chuda","1"
"ullu k@ p@th@","1"
"g@sht1","1"
"m4d3rch0d","1"
"m@4 chud4","1"
"chutmarr@","1"
"khanz33r","1"
"dall3y","1"
"8h4dw4","1"
"83gh41r4t","1"
"8egha!r4t","1"
"bh@dw4","1"
"ch@kka","1"
"kutiy4","1"
"kutte k1 bet1","1"
"laud3","1"
"ullu k4 p@th4","1"
"k@njr1","1"
"k4meeni","1"
"chutm@rr@","1"
"g@@ndu","1"
"s4la","1"
"k4m!n3y","1"
"l4ant!","1"
"bh05d@","1"
"k@njar","1"
"kutte k! aul4ad","1"
"bho$@dike","1"
"chutiy@","1"
"kutt@","1"
"h4r4@mi","1"
"s4li","1"
"d4lley","1"
"8h3nch0d","1"
"ch@kk@","1"
"d4ll@","1"
"l@4nti","1"
"bho$d1k1","1"
"chut1y3","1"
"kh@nz33r","1"
"$ali","1"
"k4njri","1"
"m4derch0d","1"
"rand1","1"
"khu$r4","1"
"54li","1"
"r@and","1"
"l4ud3","1"
"kutte ki bet1","1"
"$uar k@ 8@ch@","1"
"ra4nd","1"
"8harwa","1"
"lan@t","1"
"d4lla","1"
"ga4ndu","1"
"chutm@r!k3","1"
"kutt@ mawt","1"
"m4derchod","1"
"g4ndu","1"
"8ho5diki","1"
"8h0sdike","1"
"ga@ndu","1"
"kutt3","1"
"r@nd!","1"
"l0d3","1"
"8h05dik1","1"
"bh3n d! lod!","1"
"ch00t","1"
"8ho$d!k1","1"
"8ho$dike","1"
"r44nd","1"
"kutt3 ki beti","1"
"bh3n k3 lod3","1"
"m4d@rch0d","1"
"suar ka b@cha","1"
"h@r@ami","1"
"$u4r k4 b@ch4","1"
"kutta m@wt","1"
"ga5ti","1"
"ullu k1 p@tth1","1"
"5o0r","1"
"kame3ni","1"
"chutm4r!ke","1"
"$@l4","1"
"chutm@rr4","1"
"m@d@rchod","1"
"kutte ki 83t!","1"
"kutt4","1"
"8hen k3 l0de","1"
"94$t!","1"
"8h3n ke lode","1"
"k4njr1","1"
"kutiy@","1"
"bh054dik3","1"
"g4$ht1","1"
"bhench0d","1"
"ch0ot","1"
"m4d@rchod","1"
"chutm4rra","1"
"8harw4","1"
"ullu ka p4th@","1"
"ch4kk4","1"
"b3ghair4t","1"
"t@tte","1"
"d@ll3y","1"
"la@nt!","1"
"mutth@l","1"
"ter! m@a ki","1"
"ter! maa ki","1"
"mad4rch0d","1"
"t3r! ma4 k!","1"
"chut1ya","1"
"bho$d!ke","1"
"ullu k@ path@","1"
"bho5da","1"
"8e9h4ir@t","1"
"k4m1n@","1"
"l@n4t","1"
"5oor","1"
"kutt3 k! 83t1","1"
"kam3eni","1"
"h4r4am!","1"
"8hadw4","1"
"t4tte","1"
"bhos@d1ke","1"
"g@sti","1"
"kanjr1","1"
"s0or","1"
"h1jr4","1"
"h1jra","1"
"chut!y3","1"
"kam!n4","1"
"kutte ka b4ch@","1"
"5al!","1"
"kam1ney","1"
"chut!y@","1"
"8h@dw4","1"
"k4njar","1"
"$@la","1"
"$00r","1"
"kutt3 k1 b3t!","1"
"kutt3 k4 bach4","1"
"bhadw@","1"
"bh3nchod","1"
"8h05d!ke","1"
"kut1ya","1"
"k@nj4r","1"
"chutiy3","1"
"g@andu","1"
"kamin3y","1"
"8h3n k3 l0d3","1"
"l0du","1"
"kutt3 k1 aul@@d","1"
"su4r ka 8ach4","1"
"ullu k1 p@tthi","1"
"l@ude","1"
"5@la","1"
"bh3n d! l0d1","1"
"ullu ka path4","1"
"chutm4r1ke","1"
"bh0sd!ki","1"
"kutt3 ki 8et1","1"
"kutt4 mawt","1"
"h1jr@","1"
"m4@ chud4","1"
"kanj4r","1"
"khu5ra","1"
"$uar k@ 8ach@","1"
"94ndu","1"
"kutt3 k1 8et!","1"
"9@sti","1"
"8h3n k3 lod3","1"
"ullu ki p4tth!","1"
"9a5hti","1"
"kutt3 ki aula@d","1"
"d4ll4","1"
"8ho$d4","1"
"l4ude","1"
"kutte k4 84ch4","1"
"8ho5d!ke","1"
"chakk@","1"
"8hen ke lod3","1"
"8h0sad!ke","1"
"$al1","1"
"ullu ki p@tthi","1"
"b39h41r4t","1"
"ga4ndu","1"
"l@nat","1"
"ullu k4 p4tha","1"
"9@andu","1"
"8h@dw4","1"
"l0de","1"
"8h05d1ke","1"
"ma@ chuda","1"
"bh0$ad!ke","1"
"m4d3rch0d","1"
"5@la","1"
"8h3n di lod1","1"
"bho5d@","1"
"lan4t","1"
"k4me3ni","1"
"kutte k! 8eti","1"
"kutt3 k! 83ti","1"
"8h05d!ke","1"
"8ho5adik3","1"
"$u@r k@ 8@ch@","1"
"b39h4ir4t","1"
"8ho$d1k3","1"
"g@sti","1"
"kam!na","1"
"t3r! m4@ ki","1"
"$uar k@ b@ch4","1"
"5u4r ka 8ach4","1"
"h4raam!","1"
"bh0$d@","1"
"h@r@4m1","1"
"kutt3 k1 @ula@d","1"
"su@r k@ b4ch@","1"
"m@d@rchod","1"
"kame3n!","1"
"k4m3en1","1"
"9asti","1"
"m@@ chud@","1"
"t4tt3","1"
"kutt3 ki b3ti","1"
"s4l@","1"
"k4njar","1"
"mad@rch0d","1"
"kutte k@ 8@ch4","1"
"$u4r k@ 8ach4","1"
"t3r! ma4 k!","1"
"5u@r k@ b@ch@","1"
"kutt3 ki 4ul@@d","1"
"$@li","1"
"bh3nchod","1"
"bhos4d!ke","1"
"hara@m!","1"
"k@m33n!","1"
"bh0sd@","1"
"kutt3 k1 @ulaad","1"
"maa chud@","1"
"9@5ht1","1"
"bh3n d! l0d!","1"
"ullu k1 p@tth1","1"
"m44 chud4","1"
"bh0$adike","1"
"g@$ti","1"
"k4njr1","1"
"g@sht1","1"
"8h3n di lod!","1"
"kutt3 k! aula@d","1"
"l@ud3","1"
"k@m33ni","1"
"8ho5d1k1","1"
"8h0s4d1k3","1"
"chutmarr4","1"
"8h05d1k!","1"
"chut!y4","1"
"8hadwa","1"
"d4ll@","1"
"9@5ht!","1"
"kutte ka 84ch@","1"
"h@r44m1","1"
"8egha!rat","1"
"kutt3 k! @ul@4d","1"
"chut!y3","1"
"9a5t1","1"
"kutte k! aul@@d","1"
"l@ant1","1"
"k@miney","1"
"kutte ki 83t1","1"
"839h@1r4t","1"
"839hair4t","1"
"chut1y@","1"
"kutt3 ka b@ch4","1"
"h@r@@m1","1"
"b3gh4!r4t","1"
"9@sht!","1"
"t3r! m@a ki","1"
"g4sht1","1"
"8ho5@d!k3","1"
"ullu k4 p4th@","1"
"9a4ndu","1"
"chutm@rike","1"
"chutiy3","1"
"m4d3rchod","1"
"ullu k! p@tth!","1"
"be9ha1r@t","1"
"bh0$d!k1","1"
"bh05diki","1"
"chutmar1ke","1"
"kutt3 ki b3t1","1"
"kutt3 k! 83t1","1"
"g@5t1","1"
"chutm4r!ke","1"
"ter! m4a ki","1"
"bhen di l0d1","1"
"m@derchod","1"
"m@d3rchod","1"
"b3gha!r4t","1"
"8h0s@d1ke","1"
"8h3n d! l0d1","1"
"ch@kka","1"
"ullu k! patthi","1"
"chutm@r1k3","1"
"9@5t!","1"
"kut!y@","1"
"$u4r k4 84ch4","1"
"8hos@d1k3","1"
"ter! m@4 ki","1"
"8hen di l0di","1"
"8hen ke l0d3","1"
"$u4r ka 84cha","1"
"94$ht1","1"
"8h0$d!k!","1"
"l4@nti","1"
"kutt4 m@wt","1"
"8h0$@dike","1"
"8c","1"
"945ht!","1"
"ter1 ma@ k!","1"
"h@r@am1","1"
"kutt3 k@ 8@ch4","1"
"l0d3","1"
"kutte k! @ul4ad","1"
"8e9h@1rat","1"
"8ho54d1k3","1"
"bh0sda","1"
"bh05d1k1","1"
"bhen d1 l0di","1"
"8h054d1ke","1"
"h4r44m!","1"
"ter! m@@ k!","1"
"bho5d1ki","1"
"m@d4rch0d","1"
"8ho5dike","1"
"$u@r ka 84cha","1"
"m4@ chud@","1"
"kutte k! 8et1","1"
"kutte k1 4ula@d","1"
"8h0sd@","1"
"m@d@rch0d","1"
"kutte ki 4ul@ad","1"
"8hen d1 l0di","1"
"8ho$@dik3","1"
"kutte ki 4ul44d","1"
"t3r! m4a k!","1"
"ga5t!","1"
"l@@nt!","1"
"8hosad!ke","1"
"9@shti","1"
"kutte k! aul4@d","1"
"8h0s@d!k3","1"
"$u@r ka b@ch@","1"
"k4njr!","1"
"k@m3en!","1"
"bh05d!ki","1"
"khanz33r","1"
"8hosd4","1"
"bh05d4","1"
"5uar k@ 84ch@","1"
"kutt3 k@ b@ch@","1"
"9a5ht1","1"
"kutte k@ 8@cha","1"
"8hen ke lode","1"
"8ho5d!k!","1"
"9ast!","1"
"k@min3y","1"
"m@d3rch0d","1"
"839h4ir@t","1"
"kutt3 k@ b@cha","1"
"h4r@4m!","1"
"k4miney","1"
"h@r@am!","1"
"t3ri m@4 k1","1"
"9@sht1","1"
"k4m1na","1"
"bh3n ke l0d3","1"
"kutte k! b3t1","1"
"kam33ni","1"
"s@l!","1"
"8ho$@d!k3","1"
"9@$t1","1"
"t@tte","1"
"8h05d4","1"
"gast1","1"
"d4ll4","1"
"d@ll3y","1"
"8ho5d1k!","1"
"dall4","1"
"8eghairat","1"
"chutmar!ke","1"
"t3r! m@@ k1","1"
"bh0sd1ke","1"
"bh3n d! lod1","1"
"h!jr4","1"
"k4m3en!","1"
"50or","1"
"kutt3 ki 8et1","1"
"kutte k1 aul@ad","1"
"$u4r k4 8ach4","1"
"su@r k@ b@ch@","1"
"8ho$d!ke","1"
"h1jr4","1"
"$al4","1"
"bho5d1k1","1"
"83gh41r4t","1"
"8h05diki","1"
"chutmar!k3","1"
"bh0$d!ki","1"
"suar ka b@ch4","1"
"kutt3 ki b3t!","1"
"kutt3 k1 bet!","1"
"kutt3 ka b4ch@","1"
"b3gh4irat","1"
"$ali","1"
"kutt3","1"
"chut!ya","1"
"su@r k4 b4cha","1"
"k@m!n4","1"
"bh05adik3","1"
"h4r@@m1","1"
"ter! m@4 k!","1"
"8h0sd1ke","1"
"ullu k! p4tth1","1"
"bh05dik1","1"
"t3r1 m@4 k1","1"
"kutt3 k! 8eti","1"
"kutt3 k@ bach4","1"
"k4m33n!","1"
"m4d4rch0d","1"
"khusr4","1"
"945t1","1"
"kutt3 k! 4ul4@d","1"
"$u4r k@ 8ach@","1"
"5uar k@ 8@ch@","1"
"kutt3 k@ b@ch4","1"
"kutte k! bet1","1"
"bh0sd4","1"
"t3r! m@@ k!","1"
"kutte ki 83ti","1"
"839h4ir4t","1"
"kh4nze3r","1"
"ullu k1 p4tth1","1"
"k@meen1","1"
"r@ndi","1"
"5uar ka b@ch4","1"
"kutt3 k@ b4cha","1"
"9asht!","1"
"k4nj4r","1"
"$u@r k4 8@ch@","1"
"kutt3 k! b3ti","1"
"bhosd1k3","1"
"kutte k! beti","1"
"8ho5d!ke","1"
"8ho5@d1k3","1"
"la4nt1","1"
"kutiy4","1"
"8hosadik3","1"
"kutte k! 4ul@@d","1"
"l4@nt!","1"
"k@njr1","1"
"g4andu","1"
"g@5t!","1"
"8h0$d1ke","1"
"kutt3 k! bet1","1"
"8h0sda","1"
"har@4mi","1"
"bhen k3 lode","1"
"r@and","1"
"ma4 chuda","1"
"kutt3 ki 8eti","1"
"8h0$@d!k3","1"
"kutt3 k4 bacha","1"
"la4nti","1"
"5uar k@ b@ch4","1"
"chut1ye","1"
"t3r1 m4@ k!","1"
"r4and","1"
"bhosdik!","1"
"$4l!","1"
"t4tte","1"
"8h05d@","1"
"8h3nch0d","1"
"8egh@!r@t","1"
"chutm4r1k3","1"
"khu5r4","1"
"k4m!n3y","1"
"ullu ki patth1","1"
"kutt4 mawt","1"
"kutt!","1"
"kutt3 k1 83ti","1"
"$u4r k@ 84ch@","1"
"ch4kka","1"
"k4m33ni","1"
"8ho$d!k1","1"
"9@sti","1"
"9@$ht1","1"
"5u4r k4 84ch4","1"
"k@me3ni","1"
"8ho5d!k1","1"
"bh0sd1k!","1"
"begh41rat","1"
"r4ndi","1"
"$u4r k@ 8@ch4","1"
"8ho5da","1"
"8h0sd!k3","1"
"8ho54d1ke","1"
"k4mina","1"
"$u4r ka b@cha","1"
"8hosd!ke","1"
"bh0$d1k!","1"
"r@4nd","1"
"rand1","1"
"su@r ka 8@ch4","1"
"945t!","1"
"kutt3 ki 83ti","1"
"kutte k1 83t!","1"
"ma4 chud@","1"
"suar k@ b4cha","1"
"kutte k! 4ul44d","1"
"9a@ndu","1"
"8h05d1ki","1"
"k@m1n@","1"
"8hen d1 lod!","1"
"be9h41r4t","1"
"9a$hti","1"
"ra4nd","1"
"kutte k@ b4ch@","1"
"teri m@4 k1","1"
"kut1ya","1"
"9a5ht!","1"
"$u@r k4 84ch4","1"
"bh3nch0d","1"
"kutt3 k! aul@@d","1"
"d@ll4","1"
"8henchod","1"
"h@raami","1"
"9a5ti","1"
"bhen ke l0de","1"
"kutt3 ki aula4d","1"
"kutte ki @ul4@d","1"
"54l@","1"
"kutt3 k1 aul@4d","1"
"bho$d@","1"
"b3gh41r@t","1"
"lod3","1"
"suar k4 8@ch@","1"
"bh4dw4","1"
"sal1","1"
"$@la","1"
"bho5@d1k3","1"
"kh@nz33r","1"
"begh41r@t","1"
"m@4 chud4","1"
"l4n4t","1"
"kutt3 k! bet!","1"
"8h0$d4","1"
"chutm@r1ke","1"
"kutt3 k! aul44d","1"
"8h0$d!ki","1"
